query,BM25-llava_documents_ndcg@1,BM25_documents_ndcg@1,Clip_documents_ndcg@1,Mistral-llava_documents_ndcg@1,Mistral_documents_ndcg@1,Qwen2_documents_ndcg@1,BM25-llava_documents_ndcg@2,BM25_documents_ndcg@2,Clip_documents_ndcg@2,Mistral-llava_documents_ndcg@2,Mistral_documents_ndcg@2,Qwen2_documents_ndcg@2,BM25-llava_documents_ndcg@3,BM25_documents_ndcg@3,Clip_documents_ndcg@3,Mistral-llava_documents_ndcg@3,Mistral_documents_ndcg@3,Qwen2_documents_ndcg@3,source_file
Is Twitter usage growing globally?,0.25,0.25,0.25,0.25,0.5,0.75,0.1696989245257299,0.27676702515809004,0.3838351257904502,0.5979713270551704,0.44646594968382,0.9373691761066303,0.14507914897377255,0.309153475171038,0.4732278013683033,0.6562973047890615,0.6718513476054694,0.8739160282497203,manual
Do we need sex education in schools?,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.6787956981029196,0.6787956981029196,1.0,0.0,0.0,0.0,0.7039180890341348,0.7039180890341348,1.0,Touche
Is the decline in marriage rates a cause for concern?,0.8,0.8,1.0,0.8,0.2,0.8,0.49051775421236676,0.49051775421236676,1.0,0.8773705614469083,0.5094822457876332,0.7226294385530917,0.3939082573354265,0.3939082573354265,1.0,0.7538073391653585,0.6060917426645734,0.8264972479678704,random
Should the internet be considered a daily necessity?,0.0,0.16666666666666666,0.0,0.0,1.0,0.6666666666666666,0.44412286644879784,0.11731968150568911,0.1480409554829326,0.0,0.9259795222585335,0.5432992037642228,0.42754376048659454,0.3990534844701043,0.1757690438680402,0.0,0.9370563208453614,0.5118788491835059,random
Are social networking sites good for our society?,0.25,0.25,0.75,0.75,0.75,0.75,0.27676702515809004,0.1696989245257299,0.8303010754742701,0.8303010754742701,0.8303010754742701,0.8303010754742701,0.4235112950140977,0.20290041378171972,0.7970995862182803,0.7294661149577071,0.7294661149577071,0.9323665287394267,Touche
Does poverty cause crime?,0.0,1.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.8710490642551529,0.4087647951769723,0.0,0.0,0.6131471927654584,0.0,0.7232329748419101,0.3393978490514598,0.0,0.0,0.7636451603657846,Touche
Is a college education worth it?,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.46228426907818054,0.33333333333333337,0.33333333333333337,0.20438239758848614,0.33333333333333337,0.7956176024115139,0.43202730365528846,0.33333333333333337,0.48975957534091885,0.312852484015171,0.33333333333333337,0.8435737579924145,Touche
Is feminism still needed?,0.16666666666666666,1.0,0.3333333333333333,0.6666666666666666,1.0,1.0,0.11731968150568911,0.9259795222585335,0.23463936301137822,0.46927872602275644,0.9259795222585335,0.8519590445170673,0.09502344167898356,0.7499999999999999,0.19004688335796713,0.38009376671593426,0.9400468833579672,0.8325820458764425,Touche
Should any vaccines be required for children?,0.0,0.5,0.0,0.5,0.5,1.0,0.0,0.38009376671593426,0.23981246656813146,0.5,0.5,0.8800937667159342,0.15969697161989949,0.47909091485969846,0.20151514190050246,0.42015151419005026,0.5798484858099497,0.8992424290497487,Touche
Should recreational marijuana be legal?,1.0,0.8333333333333334,0.5,0.6666666666666666,1.0,1.0,0.9310809437291901,0.5461705988716252,0.603378584406215,0.8504508167221599,0.8621618874583801,0.9310809437291901,0.7313578627777834,0.6864213722221681,0.7313578627777834,0.7967274438194762,0.8059264116666506,0.9458645415972109,Touche
Are household electricity prices in Europe too high?,0.0,0.5,0.0,0.0,0.5,0.5,0.1480409554829326,0.7960819109658651,0.0,0.0,0.6480409554829326,0.5740204777414663,0.11990623328406573,0.834835908247115,0.0,0.0,0.8099531166420328,0.7499999999999999,manual
Is air travel becoming less safe?,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.21846823954865008,0.4135143376248598,0.21846823954865008,0.35630635209027,0.8621618874583801,1.0,0.1877114904091026,0.44915403836358964,0.1877114904091026,0.3061442547954487,0.8346393630113783,1.0,random
Should newspapers shift entirely to digital formats?,0.0,0.0,0.5,0.5,0.0,0.6666666666666666,0.0,0.0,0.35195904451706733,0.35195904451706733,0.22206143322439892,0.6913401592471553,0.09976337111752608,0.09976337111752608,0.2992901133525782,0.3990534844701043,0.33847609414020485,0.8871746352865983,random
Are women more likely to use Instagram than men?,0.0,0.0,0.0,1.0,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,0.9310809437291901,0.8907658802256749,0.8907658802256749,0.0,0.0,0.1287040072916565,0.9458645415972109,0.8712959927083435,0.8712959927083435,random
Is a low inflation rate beneficial to the economy?,0.0,0.5,0.0,0.0,0.75,1.0,0.09671320180863541,0.6934264036172708,0.0,0.0,0.5565735963827292,0.8065735963827293,0.0786330817976201,0.7507390280692655,0.0,0.0,0.5771550256590888,0.8427338364047597,manual
Is climate change a major global threat?,0.5,0.8333333333333334,0.16666666666666666,1.0,0.5,0.5,0.7412166969478349,0.959684936496485,0.10923411977432504,0.7243237749167603,0.7412166969478349,0.4655404718645951,0.8715048917840704,0.9653606369886217,0.14078361780682697,0.7631344712273078,0.8715048917840704,0.44692787260227573,manual
Have organ donation been increasing over time in UK?,0.4,0.4,0.0,0.4,1.0,1.0,0.43354350434265104,0.5174022651992787,0.0,0.6851197869125338,0.8322824782867448,1.0,0.5525004989384911,0.5137477547767904,0.0,0.6462442622073531,0.7625024946924551,0.9474995010615089,random
Should social media be more transparent about data collection?,1.0,1.0,0.0,0.0,1.0,1.0,0.6787956981029196,0.7858637987352798,0.21413620126472027,0.42827240252944054,1.0,0.89293189936764,0.5803165958950902,0.6718513476054694,0.3281486523945307,0.36613900684151635,0.8549208510262275,0.9810048227765072,random
Is China the world's leading economic power?,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.8435737579924145,1.0,0.1564262420075855,1.0,1.0,1.0,manual
Did COVID-19 affect global gasoline prices?,0.0,0.6,0.2,0.4,0.4,0.6,0.0,0.43523744692131766,0.14507914897377255,0.7478320564994405,0.7478320564994405,0.618306950342076,0.0,0.38009376671593426,0.12669792223864476,0.7797812109961533,0.7797812109961533,0.8567135500246339,manual
Are property prices in European cities too high?,0.0,0.8333333333333334,0.5,0.5,0.3333333333333333,1.0,0.0,0.5461705988716252,0.4655404718645951,0.534459528135405,0.5630635209026998,1.0,0.0,0.5631344712273079,0.4938557452045514,0.45921638219317307,0.6245770191817948,1.0,manual
Is Islamophobia on the rise in the world?,0.0,0.0,0.0,0.25,0.25,1.0,0.0,0.0,0.0,0.25,0.25,1.0,0.0,0.0,0.07118735800549958,0.30339051850412474,0.5169525925206234,1.0,manual
Is the UK's defense spending increasing?,0.0,0.6,0.0,0.6,1.0,1.0,0.16771752171325524,0.3987389739440937,0.0,0.3987389739440937,0.8322824782867448,0.9161412391433723,0.13983807620175362,0.44327621390553396,0.0,0.33245716042915047,0.9155714505364381,0.8746714351609314,random
Are Football League ticket prices too expensive?,1.0,0.4,0.0,0.6,0.4,0.6,0.9161412391433723,0.34968474348602346,0.0,0.7341740173706042,0.6851197869125338,0.8180327782272317,0.8287507484077364,0.38125124734622756,0.15750149681547307,0.7374975053075448,0.5937437632688621,0.8562462579613171,random
Do Americans support spending on policing?,1.0,0.6,1.0,1.0,0.6,0.6,1.0,0.892911205473213,1.0,1.0,0.892911205473213,0.892911205473213,0.8733020777613553,0.7797812109961533,0.8733020777613553,0.8733020777613553,0.9064791332347981,0.9064791332347981,manual
Is Facebook still the most popular social network?,0.0,0.0,0.8333333333333334,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.13783811254161996,0.0,0.5461705988716252,0.21846823954865008,0.35630635209027,0.8504508167221599,0.11312409143522567,0.0,0.4482436071324599,0.268946164279476,0.4268946164279477,0.7876158814381369,manual
Is anti-Semitism on the rise globally?,0.0,0.4,0.8,0.6,1.0,1.0,0.0,0.26582598262939583,0.5316519652587917,0.7341740173706042,0.9161412391433723,0.9161412391433723,0.0,0.22163810695276698,0.44327621390553396,0.6121333128326577,0.9300809618991231,0.9300809618991231,random
Should pets be considered a necessary part of a household?,0.0,0.0,0.0,0.0,1.0,0.8,0.3354350434265105,0.16771752171325524,0.0,0.3354350434265105,0.6645649565734895,0.6155107261154192,0.2960819109658652,0.1480409554829326,0.058659840752844555,0.3547417517187098,0.6452582482812901,0.6019590445170673,random
Do Hispanics face discrimination in the US?,0.0,0.8333333333333334,1.0,1.0,0.8333333333333334,1.0,0.0,0.5461705988716252,1.0,1.0,0.8907658802256749,1.0,0.0,0.6864213722221681,0.828394656944458,0.8712959927083435,0.9570986642361144,1.0,manual
Do Russians regret the breakup of the Soviet Union?,1.0,1.0,1.0,1.0,1.0,1.0,0.6554047186459502,1.0,0.6554047186459502,1.0,1.0,1.0,0.5631344712273079,0.8592163821931731,0.5631344712273079,0.8592163821931731,1.0,1.0,random
Should the federal minimum wage be increased?,0.25,0.25,0.25,1.0,1.0,0.75,0.25,0.25,0.5401396054259062,0.7098603945740938,0.7098603945740938,0.8467132018086354,0.2032635677629873,0.2032635677629873,0.4391628131558476,0.6394702686417724,0.7641007546071396,0.9376847570173164,Touche
Is an aging population a concern for Europe's future?,0.6,0.0,0.0,1.0,1.0,1.0,0.3987389739440937,0.41929380428313806,0.16771752171325524,0.6645649565734895,1.0,1.0,0.33245716042915047,0.34959519050438403,0.19524760293994536,0.5540952673819174,1.0,1.0,manual
Do tattoos negatively impact job opportunities?,0.6,1.0,0.6,1.0,1.0,1.0,0.7547411228938167,0.8452588771061834,0.36788831565927504,0.8452588771061834,0.8452588771061834,1.0,0.8030458713322868,0.777258715800942,0.2954311930015699,0.6787816514670854,0.924974312301727,0.9507614678330717,random
Has the internet influenced US election campaigns?,0.0,1.0,0.5,1.0,0.75,1.0,0.19342640361727081,1.0,0.6934264036172708,1.0,0.8467132018086354,1.0,0.1572661635952402,0.8130542710519492,0.8130542710519492,0.8753695140346327,0.9376847570173164,0.9376847570173164,manual
Does India see Pakistan as a threat?,0.0,1.0,0.5,0.8333333333333334,1.0,1.0,0.0,1.0,0.6722976406770249,0.7529277676840551,1.0,1.0,0.21450667881942753,0.7854933211805725,0.5280853065972594,0.6772224043749939,0.914197328472229,0.914197328472229,random
