Question,Sector
Do most-used news sources prioritize speed over accuracy in their election coverage?,Media
Should the minimum voting age be lowered to 16?,Politics
Should voters abroad have the right to cast ballots in national elections?,Politics
Is the US doing enough to protect citizens' personal information?,Privacy
Should Americans be required to participate in contact tracing to help control the spread of COVID-19?,Healthcare
Do people trust public health organizations to keep their personal records safe from hackers?,Healthcare
Do online classes provide the same educational value as in-person instruction?,Education
Do social media companies have a responsibility to prevent the spread of misinformation on their platforms?,Technology
Does social media have a net positive impact on society?,Technology
Do social media platforms influence users' views on social justice movements like Black Lives Matter?,Technology
Should mail-in voting become the primary method of casting ballots in U.S. elections?,Politics
Should Supreme Court justices be required to have prior experience as judges or in elected office?,Government
Does higher voter turnout among Cuban Americans compared to other Latino groups result from cultural or socio-economic factors?,Politics
Does the stock market have a significant impact on Americans' views of the economy?,Economics
"Should the U.S. hold China accountable for its role in the COVID-19 pandemic, even if",Politics
Should the U.S. Census Bureau use a different method to count the Hispanic population?,Census
"Is the term ""Latinx"" an effective label for the Hispanic and Latino community?",Ethnicity
Is the federal government trustworthy?,Politics
Is the federal government trustworthy?,Politics
Does the COVID-19 pandemic disproportionately affect minority communities?,HEALTH
Should the growing Hispanic population in the US have more representation in government?,Politics
Should Latino voters receive more targeted outreach from politicians in states like Florida and Texas?,Politics
Should parents be required to attend religious services with their teenagers?,Religion
Do presidential debates significantly influence voters' decisions?,Politics
Should the U.S. continue to allow high levels of immigration?,Politics
Should unauthorized immigrants be granted a pathway to U.S. citizenship?,Immigration
Should the U.S. prioritize immigration from its neighboring countries over other parts of the world?,Politics
Should the U.S. accept more refugees from countries with high persecution rates?,Politics
Should English proficiency be a requirement for immigrants to live in the United States?,Politics
Should the U.S. provide a pathway to citizenship for its 10.5 million unauthorized immigrants?,Immigration
Should unauthorized immigrants in the US be granted a path to citizenship?,Immigration
Do multiracial individuals make better bridges between different racial groups?,Sociology
Should being Hispanic be classified as a racial background rather than just an ethnic origin?,Demographics
Is the federal budget deficit a very big problem in the United States?,Economics
"Is the term ""Latinx"" a failure as an inclusive label for the Hispanic community?",Sociology
"Should the term ""Latinx"" be adopted as a standard term to describe people of Latin American descent",Politics
Should census workers be allowed to visit households that have not returned their census questionnaires?,Government
Is the US census effective in accurately counting the population?,Demographics.
Should YouTube be responsible for regulating content to protect young children from exposure to inappropriate material?,Technology
Should parents limit their child's screen time?,Parenting
Does widespread discrimination against Hispanics exist in the US?,Sociology
Should police department budgets be increased or kept at their current levels?,Government
Is the slowing growth rate of the U.S. Hispanic population a cause for concern?,Demographics
Is the slowing growth rate of the U.S. Hispanic population a cause for concern?,Demographics
Should the government provide financial assistance to young adults who relocated due to the COVID-19 pandemic?,Economy
